rank,lambda,gamma,alpha,train_avg,train_std,val_avg,val_std,test_avg
163,0.200,0.20,0.30,7.334469,0.383980,8.907212,1.122899,7.834682
164,0.200,0.10,1.50,7.334387,0.387599,8.912040,1.027308,7.815192
165,0.200,0.10,3.00,7.334623,0.389786,8.915977,1.040647,7.812781
166,1.000,0.30,3.00,6.198377,0.328117,8.917208,1.011481,8.083372
167,0.200,0.05,1.50,7.382228,0.391334,8.919614,1.065638,7.731329
168,0.200,0.15,0.60,7.325169,0.383565,8.921286,1.079758,7.773723
169,0.200,0.05,3.00,7.382430,0.393506,8.922805,1.082297,7.730128
170,0.200,0.05,1.00,7.384340,0.390692,8.927541,1.082782,7.731021
171,0.200,0.05,2.00,7.381072,0.393012,8.931759,1.072164,7.731329
172,0.200,0.15,0.30,7.360183,0.390452,8.932935,1.080096,7.814936
173,0.200,0.10,2.00,7.332765,0.389588,8.942850,1.024006,7.815192
174,0.100,0.30,1.50,7.460499,0.377844,8.944138,1.214582,7.876846
175,0.200,0.10,0.60,7.348595,0.382929,8.944584,1.099396,7.731074
176,0.200,0.10,0.30,7.375155,0.384277,8.952658,1.095094,7.757856
177,2.000,0.30,3.00,5.862846,0.337431,8.954619,1.046032,8.258502
178,0.200,0.05,0.60,7.386791,0.389799,8.962688,1.067301,7.724131
179,0.100,0.30,1.00,7.471224,0.371375,8.963046,1.239661,7.812421
180,0.200,0.05,0.30,7.394421,0.389252,8.968182,1.078470,7.737194
181,0.100,0.15,3.00,7.568389,0.380075,9.004646,1.232869,7.790376
182,0.100,0.20,1.50,7.526945,0.377219,9.006012,1.206846,7.807364
183,0.100,0.20,3.00,7.531713,0.378430,9.006921,1.215107,7.812230
184,0.100,0.20,1.00,7.531176,0.370534,9.012206,1.221843,7.743539
185,0.100,0.15,1.00,7.565214,0.375320,9.018419,1.221159,7.782987
186,0.100,0.15,1.50,7.565186,0.378159,9.018651,1.216809,7.783794
187,5.000,0.30,2.00,5.615518,0.309574,9.032290,1.021187,8.493483
188,0.100,0.30,3.00,7.457938,0.374829,9.032445,1.133721,7.878195
189,0.100,0.30,2.00,7.457051,0.380668,9.034203,1.170111,7.876846
190,0.100,0.05,1.50,7.604811,0.389034,9.036216,1.183029,7.746317
191,0.100,0.30,0.60,7.519493,0.364165,9.039216,1.255277,7.796140
192,0.100,0.30,0.30,7.562276,0.377699,9.039899,1.259488,7.858740
193,0.100,0.05,1.00,7.603834,0.388595,9.040870,1.193929,7.746009
194,0.100,0.05,3.00,7.604181,0.389870,9.042958,1.188516,7.744501
195,0.100,0.10,1.00,7.589531,0.384945,9.048542,1.251066,7.762657
196,0.100,0.15,2.00,7.563398,0.380996,9.054337,1.191158,7.783794
197,0.100,0.10,1.50,7.590071,0.387217,9.057077,1.242877,7.763236
198,0.100,0.10,3.00,7.590238,0.387937,9.057308,1.248212,7.759579
199,0.100,0.20,0.60,7.558539,0.372727,9.057361,1.247217,7.748266
200,0.100,0.20,0.30,7.585534,0.383366,9.057612,1.252773,7.777370
201,0.100,0.05,2.00,7.603763,0.389532,9.057849,1.176393,7.746317
202,0.100,0.05,0.60,7.615539,0.385237,9.062594,1.216260,7.733613
203,0.100,0.20,2.00,7.524513,0.378589,9.062697,1.176749,7.807364
204,0.100,0.15,0.30,7.608246,0.384186,9.067640,1.246695,7.794660
